Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
40.6,17159918,4,4289979.5,4312507.5,1043621,7491282,2755041.0,cuLibraryLoadData
28.1,11877526,72,164965.6,5031.5,4266,4847855,765781.1,cudaLaunchKernel
20.6,8682793,2,4341396.5,4341396.5,522808,8159985,5400299.6,cudaDeviceSynchronize
6.0,2555296,66,38716.6,6278.0,5845,2146149,263398.1,cudaStreamSynchronize
2.5,1047652,4,261913.0,216838.0,157935,456041,136319.4,cudaMalloc
1.3,533628,130,4104.8,3896.5,2615,23729,2542.9,cudaMemcpyAsync
0.4,181996,33,5515.0,4641.0,4033,31491,4699.5,cuLaunchKernelEx
0.4,148317,1,148317.0,148317.0,148317,148317,0.0,cuModuleLoadData
0.1,30255,76,398.1,226.5,180,9086,1049.7,cudaStreamIsCapturing_v10000
0.0,19895,4,4973.8,6070.5,931,6823,2725.7,cuLibraryGetKernel
0.0,10238,72,142.2,100.0,67,1031,151.8,cuKernelGetName
0.0,1101,2,550.5,550.5,167,934,542.4,cudaGetDeviceProperties_v2_v12000
0.0,970,1,970.0,970.0,970,970,0.0,cuModuleGetLoadingMode
