Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.0,1789092168,27,66262672.9,49058400.0,1304,487635607,95741630.7,poll
21.7,883797684,135,6546649.5,6741194.0,19816,15187765,3691626.7,pthread_mutex_lock
12.7,514821752,3612,142530.9,3202.0,1000,294806638,4946425.8,read
12.0,486932177,1848,263491.4,5510.5,1005,78610822,2094085.1,ioctl
3.7,151761497,3,50587165.7,2719622.0,4059,149037816,85271574.9,getdelim
2.1,84177725,238,353687.9,1658.5,1026,23667331,2706139.5,fopen
2.0,80886799,16,5055424.9,5054001.5,5052453,5065501,4074.3,nanosleep
0.5,21576694,22,980758.8,4921.0,1358,21438270,4569252.2,open
0.5,19762921,193,102398.6,56707.0,22299,8359523,598531.2,sleep
0.3,10681365,2875,3715.3,3055.0,1007,83764,2712.5,open64
0.1,6012008,2632,2284.2,1867.0,1004,164018,3467.8,close
0.1,3993584,4,998396.0,1699.5,1016,3989169,1993848.7,pread
0.1,3951270,883,4474.8,5171.0,1000,33854,3180.4,munmap
0.1,3009737,259,11620.6,4107.0,1017,1345410,83951.8,mmap64
0.1,2196865,15,146457.7,2230.0,1291,2157251,556273.3,write
0.1,2123955,210,10114.1,9416.5,1159,38112,4030.1,fgets
0.0,540466,11,49133.3,25602.0,12300,230680,62624.9,sem_timedwait
0.0,385697,234,1648.3,1274.0,1000,6549,943.3,fclose
0.0,324278,81,4003.4,2186.0,1493,42108,5845.8,mmap
0.0,273153,4,68288.3,69374.0,52982,81423,12586.8,waitpid
0.0,200181,3,66727.0,71405.0,54504,74272,10682.1,pthread_create
0.0,199994,157,1273.8,1142.0,1004,4621,478.5,fflush
0.0,128577,2,64288.5,64288.5,42274,86303,31133.2,pthread_cond_wait
0.0,54255,13,4173.5,4407.0,1651,8928,2051.3,pipe2
0.0,25210,7,3601.4,2271.0,1990,7215,2098.0,fopen64
0.0,13379,2,6689.5,6689.5,6598,6781,129.4,socket
0.0,12427,3,4142.3,3972.0,3591,4864,653.4,fflush_unlocked
0.0,11959,3,3986.3,3070.0,2729,6160,1890.2,fwrite_unlocked
0.0,9532,1,9532.0,9532.0,9532,9532,0.0,connect
0.0,4916,2,2458.0,2458.0,2183,2733,388.9,stat
0.0,3659,2,1829.5,1829.5,1188,2471,907.2,fwrite
0.0,3150,2,1575.0,1575.0,1454,1696,171.1,pthread_cond_broadcast
0.0,2710,1,2710.0,2710.0,2710,2710,0.0,lstat
0.0,2602,1,2602.0,2602.0,2602,2602,0.0,mprotect
0.0,2580,1,2580.0,2580.0,2580,2580,0.0,fputs_unlocked
0.0,2239,1,2239.0,2239.0,2239,2239,0.0,bind
0.0,1761,1,1761.0,1761.0,1761,1761,0.0,pthread_cond_signal
0.0,1567,1,1567.0,1567.0,1567,1567,0.0,fread
0.0,1090,1,1090.0,1090.0,1090,1090,0.0,dup2
0.0,1009,1,1009.0,1009.0,1009,1009,0.0,fcntl
