Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
65.3,40733297,2,20366648.5,20366648.5,3382606,37350691,24019063.2,cudaDeviceSynchronize
15.5,9652226,3,3217408.7,3267651.0,1060992,5323583,2131739.6,cuLibraryLoadData
12.4,7716353,6,1286058.8,396916.5,6190,5108531,2000499.0,cudaLaunchKernel
4.1,2555461,66,38719.1,6257.5,5870,2148368,263675.0,cudaStreamSynchronize
1.4,850716,3,283572.0,256727.0,150949,443040,147884.3,cudaMalloc
0.8,510326,130,3925.6,3790.5,2554,17687,1955.2,cudaMemcpyAsync
0.3,194561,33,5895.8,4746.0,4080,31435,4807.9,cuLaunchKernelEx
0.2,142444,1,142444.0,142444.0,142444,142444,0.0,cuModuleLoadData
0.0,29526,75,393.7,223.0,201,9646,1110.1,cudaStreamIsCapturing_v10000
0.0,7865,3,2621.7,1141.0,785,5939,2878.4,cuLibraryGetKernel
0.0,2177,6,362.8,320.0,98,665,202.6,cuKernelGetName
0.0,868,1,868.0,868.0,868,868,0.0,cuModuleGetLoadingMode
0.0,797,2,398.5,398.5,185,612,301.9,cudaGetDeviceProperties_v2_v12000
