Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.5,1798034349,27,66593864.8,50070671.0,1085,495472051,97055986.3,poll
23.3,964037783,134,7194311.8,7479881.0,1425,18186077,3799959.8,pthread_mutex_lock
12.5,514490650,3648,141033.6,3265.0,1001,297585732,4967854.3,read
11.5,473199364,1841,257033.9,5238.0,1000,80853026,2145770.4,ioctl
3.7,152897302,4,38224325.5,4502.0,1989,152886309,76441322.3,getdelim
2.5,103274227,234,441342.9,1515.0,1004,22832965,2985948.0,fopen
2.0,80878063,16,5054878.9,5053955.0,5052546,5060049,2394.9,nanosleep
0.3,10980108,193,56891.8,56641.0,54300,65204,1223.4,sleep
0.3,10561547,2877,3671.0,2970.0,1040,86444,2752.3,open64
0.1,6054524,2621,2310.0,1812.0,1007,373438,7440.0,close
0.1,4489089,4,1122272.3,1551.0,1014,4484973,2241800.5,pread
0.1,3547215,802,4423.0,4735.0,1000,23625,3056.9,munmap
0.1,2984442,250,11937.8,4131.5,1001,1375190,87264.5,mmap64
0.1,2095772,209,10027.6,9405.0,1715,35071,3569.1,fgets
0.0,1333376,15,88891.7,2360.0,1419,1294263,333460.6,write
0.0,1002327,11,91120.6,52022.0,6619,363334,112627.2,sem_timedwait
0.0,323571,190,1703.0,1283.0,1000,9179,1148.0,fclose
0.0,310422,81,3832.4,2106.0,1148,42463,5901.6,mmap
0.0,308859,4,77214.8,77673.5,60930,92582,12936.7,waitpid
0.0,195840,3,65280.0,67015.0,61064,67761,3670.2,pthread_create
0.0,175658,128,1372.3,1168.0,1003,6408,690.7,fflush
0.0,136248,2,68124.0,68124.0,41139,95109,38162.6,pthread_cond_wait
0.0,132478,22,6021.7,4362.0,1318,20247,4879.0,open
0.0,56274,13,4328.8,4551.0,2041,8127,1780.7,pipe2
0.0,25092,7,3584.6,2211.0,1593,8325,2575.2,fopen64
0.0,14800,2,7400.0,7400.0,6421,8379,1384.5,socket
0.0,10624,3,3541.3,3892.0,2612,4120,812.9,fwrite_unlocked
0.0,10087,3,3362.3,3367.0,2933,3787,427.0,fflush_unlocked
0.0,9899,1,9899.0,9899.0,9899,9899,0.0,pthread_cond_signal
0.0,8720,1,8720.0,8720.0,8720,8720,0.0,connect
0.0,4884,2,2442.0,2442.0,2434,2450,11.3,stat
0.0,4866,3,1622.0,1283.0,1008,2575,836.7,fwrite
0.0,4584,2,2292.0,2292.0,1319,3265,1376.0,pthread_cond_broadcast
0.0,2747,2,1373.5,1373.5,1248,1499,177.5,sigaction
0.0,2683,1,2683.0,2683.0,2683,2683,0.0,fputs_unlocked
0.0,2623,1,2623.0,2623.0,2623,2623,0.0,lstat
0.0,2142,2,1071.0,1071.0,1066,1076,7.1,dup2
0.0,2058,1,2058.0,2058.0,2058,2058,0.0,bind
0.0,2044,1,2044.0,2044.0,2044,2044,0.0,mprotect
0.0,1935,1,1935.0,1935.0,1935,1935,0.0,fread
